name,rating,popularity,cluster,performance
Ingleside Village Pizza,4.9,478,0,Medium
Jim Shaw's Seafood Grill & Bar,4.6,467,0,Medium
Mandarin Chinese Restaurant,4.5,302,0,Medium
Rookery,4.5,289,0,Medium
Dovetail,3.8,102,0,Medium
Bonefish Grill,4.1,293,0,Medium
Downtown Grill,4.0,195,0,Medium
Greek Corner Deli,4.3,244,0,Medium
Natalia's,4.2,379,0,Medium
Papouli's Mediterranean Cafe & Market,4.2,223,0,Medium
Benson's Steak and Sushi,3.7,243,0,Medium
My Fathers Place,3.7,104,0,Medium
Sushi Thai Restaurant,3.7,153,0,Medium
The Mellow Mushroom,3.8,323,0,Medium
El Jalisciense Mexican Restaurant,4.1,181,0,Medium
Greek Village,4.0,316,0,Medium
Martin's BBQ,4.2,288,0,Medium
Thai Pepper,4.0,232,0,Medium
Zen Japanese Steakhouse and Sushi Bar,4.1,314,0,Medium
Star Buffet,2.9,11,0,Medium
Triangle Restaurant,2.4,17,0,Medium
Three Anchors,3.8,176,0,Medium
HI Lite Bar & Lounge,3.4,11,0,Medium
Vince's Restaurant & Pizzeria,3.6,65,0,Medium
Poets Cafe,2.4,193,0,Medium
The Artesian Restaurant,3.6,30,0,Medium
Ceví_che Tapas Bar & Restaurant,4.4,981,0,Medium
'Ohana,4.5,1151,2,High
Earl of Sandwich,4.7,1341,2,High
Raglan Road Irish Pub and Restaurant,4.3,782,0,Medium
Cafí© Tu Tu Tango,4.6,1293,2,High
Texas de Brazil,4.6,2324,2,High
Bahama Breeze Island Grille,4.3,910,0,Medium
Maggiano's Little Italy,4.4,886,0,Medium
Hawkers Asian Street Fare,4.6,1293,2,High
Tako Cheena by Pom Pom,4.4,570,0,Medium
Seasons 52 Fresh Grill,4.4,1685,2,High
Hollerbach's Willow Tree Cafí©,4.8,1699,2,High
Pom Pom's Teahouse and Sandwicheria,4.9,1457,2,High
Yellow Dog Eats,4.9,1252,2,High
Tibby's New Orleans Kitchen,4.7,1412,2,High
The Coop,3.6,432,0,Medium
Bosphorous Turkish Cuisine,4.2,568,0,Medium
Ethos Vegan Kitchen,4.4,797,0,Medium
Hillstone,4.4,1158,2,High
The Ravenous Pig,4.4,1998,2,High
Vivo Bar and Grill,4.4,381,0,Medium
Pier 70,2.6,16,0,Medium
DiVine,3.4,19,0,Medium
Cactus Flower Cafe Navarre,4.2,635,0,Medium
McGuire's Irish Pub & Brewery,4.9,2238,2,High
New Yorker Deli & Pizzeria,4.6,792,0,Medium
